Date,Rate
2003-12-01,21.3
2004-01-01,23.8
2004-02-01,22.4
2004-03-01,24.8
2004-04-01,22.5
2004-05-01,17.5
2004-06-01,19.8
2004-07-01,14.1
2004-08-01,10.7
2004-09-01,13
2004-10-01,9.1
2004-11-01,10.7
2004-12-01,10
2005-01-01,10
2005-02-01,9.8
2005-03-01,10.9
2005-04-01,16.3
2005-05-01,17.9
2005-06-01,16.8
2005-07-01,18.6
2005-08-01,26.1
2005-09-01,28.2
2005-10-01,24.3
2005-11-01,18.6
2005-12-01,15.1
2006-01-01,11.6
2006-02-01,10.7
2006-03-01,10.8
2006-04-01,12
2006-05-01,12.6
2006-06-01,10.5
2006-07-01,8.5
2006-08-01,3
2006-09-01,3.7
2006-10-01,6.3
2006-11-01,6.1
2006-12-01,7.8
2007-01-01,8.5
2007-02-01,8
2007-03-01,7.1
2007-04-01,5.2
2007-05-01,4.2
2007-06-01,4.6
2007-07-01,6.4
2007-08-01,4.8
2007-09-01,4.2
2007-10-01,4.1
2007-11-01,4.6
2007-12-01,5.2
2008-01-01,6.6
2008-02-01,8.6
2008-03-01,8
2008-04-01,7.8
2008-05-01,8.2
2008-06-01,9.7
2008-07-01,12
2008-08-01,14
2008-09-01,12.4
2008-10-01,13
2008-11-01,14.7
2008-12-01,14.8
2009-01-01,15.1
2009-02-01,14
2009-03-01,14.6
2009-04-01,14.4
2009-05-01,13.3
2009-06-01,13.2
2009-07-01,11.2
2009-08-01,11.1
2009-09-01,11
2009-10-01,10.4
2009-11-01,11.6
2009-12-01,12.4
2010-01-01,13.9
2010-02-01,14.4
2010-03-01,15.6
2010-04-01,14.8
2010-05-01,15
2010-06-01,12.9
2010-07-01,14.1
2010-08-01,13
2010-09-01,13.7
2010-10-01,13.6
2010-11-01,13.4
2010-12-01,12.8
2011-01-01,11.8
2011-02-01,12.1
2011-03-01,11.1
2011-04-01,12.8
2011-05-01,11.3
2011-06-01,12.4
2011-07-01,10.2
2011-08-01,9.4
2011-09-01,9.3
2011-10-01,10.3
2011-11-01,10.5
2011-12-01,10.5
2012-01-01,10.3
2012-02-01,12.6
2012-03-01,11.9
2012-04-01,12.1
2012-05-01,12.9
2012-06-01,12.7
2012-07-01,12.9
2012-08-01,12.8
2012-09-01,11.7
2012-10-01,11.3
2012-11-01,11.7
2012-12-01,12.3
2013-01-01,12
2013-02-01,9
2013-03-01,9.5
2013-04-01,8.6
2013-05-01,9.1
2013-06-01,9
2013-07-01,8.4
2013-08-01,8.7
2013-09-01,8.2
2013-10-01,8
2013-11-01,7.8
2013-12-01,7.9
2014-01-01,8
2014-02-01,8
2014-03-01,7.7
2014-04-01,7.8
2014-05-01,7.9
2014-06-01,8
2014-07-01,8.2
2014-08-01,8.3
2014-09-01,8.5
2014-10-01,8.3
2014-11-01,8.1
2014-12-01,7.9
2015-01-01,8
2015-02-01,8.2
2015-03-01,8.4
2015-04-01,8.5
2015-05-01,8.7
2015-06-01,9
2015-07-01,9.2
2015-08-01,9.2
2015-09-01,9.3
2015-10-01,9.4
2015-11-01,9.3
2015-12-01,9.4
2016-01-01,9.6
2016-02-01,9.6
2016-03-01,11.4
2016-04-01,12.8
2016-05-01,13.7
2016-06-01,15.6
2016-07-01,16.5
2016-08-01,17.1
2016-09-01,17.6
2016-10-01,17.9
2016-11-01,18.3
2016-12-01,18.48
2017-01-01,18.55
2017-02-01,18.72
2017-03-01,17.78
2017-04-01,17.26
2017-05-01,17.24
2017-06-01,16.25
2017-07-01,16.1
2017-08-01,16.05
2017-09-01,16.01
2017-10-01,15.98
2017-11-01,15.91
2017-12-01,15.9
