1,【学习贯彻十九大】翔安校区学生办召开学习贯彻十九大精神座谈会暨学习宣传工作布置会,2017-10-30,h
2,联合国人力资源外联项目厦门地区宣介活动在我校举办,2017-10-30,t
3,我校人类博物馆携手厦门一中聚焦“工匠精神”开展科普讲座,2017-10-30,t
4,【学习贯彻十九大】校党委集体研习党的十九大精神,2017-10-30,p
5,重阳共聚首  老寿星齐贺寿——厦门市老教授协会举办第11届“高寿同庆”茶话会,2017-10-29,:
6,“姚明集团”向学校捐赠三部通勤班车,2017-10-29,/
7,我校在英发布报告：今明两年中国经济结构不断优化,2017-10-28,/
8,重阳节走访慰问我校满百岁离退休老同志,2017-10-28,n
9,尼日利亚纳姆迪・阿齐克韦大学校长来访我校,2017-10-27,e
10,【十九大精神笔谈】学习贯彻党的十九大精神 扎实推进全面从严治党向纵深发展,2017-10-27,w
11,第八届“海峡两岸鱼类生理与养殖研讨会”在我校举行,2017-10-27,s
12,我校参加第十届中日大学校长论坛,2017-10-27,.
13,“机关干部论坛”解码“双一流”建设,2017-10-26,x
14,【学习贯彻十九大】校工会组织工会干部学习贯彻十九大精神,2017-10-26,m
15,教行合一的人类学教育工作者——记福建省优秀教师张先清教授,2017-10-26,u
16,【学习贯彻十九大】不忘合作初心  继续携手前进 ——我校召开党外人士学习贯彻十九大精神座谈会,2017-10-25,h
17,【学习贯彻十九大】各学院多种形式学习贯彻十九大精神,2017-10-25,t
18,强化教学管理有举措　提升教学质量见成效,2017-10-24,t
19,2017年全国高校仪器类专业教学研讨会在我校举办,2017-10-24,p
20,厦门大学庆祝党的十九大胜利召开书画摄影展拉开帷幕,2017-10-24,:
21,第六届中国大学生公共关系策划创业大赛总决赛暨颁奖典礼在我校举办 我校学子获金奖,2017-10-24,/
22,【学习贯彻十九大】青年教师代表学习贯彻十九大精神座谈会召开,2017-10-24,/
23,我校获教育部“蓝火计划”博士生工作团优秀组织单位称号,2017-10-24,n
24,我校师生参加首届陈嘉庚奖学金颁奖仪式,2017-10-24,e
25,航空航天学院举行“空天报国”主题报告会,2017-10-23,w
26,广西定向选调生招录宣讲会在我校举行,2017-10-23,s
27,刘祖国教授当选新一届亚洲干眼学会主席,2017-10-23,.
28,第九届国际研究生奖学金信息说明会（厦门站）在我校举办,2017-10-23,x
29,我校省社科研究基地考核评估会召开,2017-10-23,m
30,【学习贯彻十九大】党校组织入党积极分子学习 及时解读党的十九大精神,2017-10-23,u
31,我校马来西亚分校举办第一届“曦”中文诗歌朗诵比赛,2017-10-23,h
32,夏商集团领导代表金砖会晤保障项目组到后勤集团送锦旗表谢意,2017-10-23,t
33,【学习贯彻十九大】关工委学习贯彻十九大精神座谈会召开,2017-10-22,t
34,【学习贯彻十九大】离退休教职工学习贯彻党的十九大精神座谈会召开,2017-10-20,p
35,校领导率团赴港参加恒管全球人文先导计划暨研讨会,2017-10-20,:
36,校长张荣率团访问马来西亚,2017-10-20,/
37,学校召开国际奖学金生座谈会,2017-10-20,/
38,建院学子在中国城科会城市大数据专业委员会首届学生竞赛中荣获一等奖,2017-10-20,n
39,【学习贯彻十九大】机关党委学习贯彻十九大精神座谈会召开,2017-10-20,e
40,【学习贯彻十九大】党课带队教师集中学习十九大精神,2017-10-20,w
41,【学习贯彻十九大】党务工作者学习贯彻十九大精神座谈会召开,2017-10-20,s
42,“学习总书记回信精神 我为十九大添光彩”南强青春讲坛举行,2017-10-19,.
43,学校召开文科院长联席会,2017-10-19,x
44,【喜迎十九大】青年学生骨干开展“与信仰对话：青年的楷模，学习的榜样”《习近平的七年知青岁月》主题学习活动,2017-10-18,m
45,材料学院全国十强团队分享创新创业故事,2017-10-17,u
46,我校扶贫项目获评教育部“十大典型”,2017-10-17,h
47,国家外国专家局副局长尹成基一行来校调研,2017-10-17,t
48,【喜迎十九大】逐梦——厦门大学喜迎党的十九大主题文艺晚会举办,2017-10-17,t
49,美国麻省理工学院Yang Shao-Horn教授做客厦门大学南强学术讲座,2017-10-17,p
50,【喜迎十九大】学校开展安全大检查  为迎接十九大召开营造良好氛围,2017-10-17,:
